Province,Date,Population,Labourforce,Employment,Fulltime,Parttime,Unemployment,Unemploymentrate,Participationrate,Employmentrate,Goodsproducingsector,Agriculture,Forestryfishingminingquarryinoilgas,Utilities,Construction,Manufacturing,Servicesproducingsector ,Wholesaleretailtrade,Transportwarehousing,Financeinsurancerealestaterentalleasing,scientifictechnical,Businessbuildingsupportservices ,Educationalservices,Healthsocialassistance,Infoculturerec,Accommodationfoodservices,Otherservices,Publicadministration,Totalemployed
Newfoundland and Labrador,20-Jan,439.8,252.5,222.5,187.7,34.8,30,11.9,57.4,50.6,43.9,1.6,12.2,2.4,18.5,9.4,178.6,35.3,11.4,6.1,9.2,7.2,17.4,38.3,6.4,17.3,12,18.1,222.5
Newfoundland and Labrador,20-Feb,439.7,253.5,223.2,185.8,37.4,30.3,12,57.7,50.8,44.6,1.6,13.6,2.5,17.9,9,178.7,36,11.3,6.8,9.1,7.1,16.9,38.4,6.3,17.8,11.9,17.1,223.2
Newfoundland and Labrador,20-Mar,439.8,246.3,217.4,186.9,30.4,28.9,11.7,56,49.4,44.3,1.6,13.1,2.5,18.2,9,173.1,34,11.7,7,9.3,7.2,16.6,38.5,5.4,15.4,11.6,16.4,217.4
Newfoundland and Labrador,20-Apr,439.7,224.1,188.2,159.6,28.7,35.8,16,51,42.8,33.8,1.8,9,2.4,14.1,6.5,154.4,28.9,9.1,5.9,8.8,6.7,16.3,37.1,5,12.6,8.7,15.3,188.2
Newfoundland and Labrador,20-May,439.4,236.9,198.2,168.7,29.5,38.7,16.3,53.9,45.1,35.2,0.7,12.8,2.4,11.5,7.8,163.1,31.8,10,6.5,9.1,6.3,16.9,37.5,5.2,13.3,9.5,17,198.2
Newfoundland and Labrador,20-Jun,439.3,244.3,204.2,168.5,35.7,40.2,16.5,55.6,46.5,37.2,1.7,12.2,2.6,12.1,8.6,167,34,9.1,7,9.6,6.9,15.8,37,5.2,14.8,10.7,17,204.2
Newfoundland and Labrador,20-Jul,439.3,247.1,208.5,173.6,34.9,38.6,15.6,56.2,47.5,37.4,1.2,12.8,2.6,13.2,7.6,171.1,32,10.5,8,9.5,7.1,15.3,38.6,6.7,14.8,10.8,17.8,208.5
Newfoundland and Labrador,20-Aug,439.3,244.6,212.5,175.8,36.7,32.1,13.1,55.7,48.4,37.1,0.9,13.5,2.7,11.9,8,175.5,32.9,10,7.4,9.7,7.4,16.3,40.7,6.5,14.8,11.7,17.9,212.5
Newfoundland and Labrador,20-Sep,439.3,253.9,216.2,181.8,34.3,37.7,14.8,57.8,49.2,39.9,0.9,12,2.9,14,10.1,176.3,34.1,9.8,7.9,9.8,5.7,17.4,41.9,6.4,15.1,10.5,17.8,216.2
Newfoundland and Labrador,20-Oct,439.3,254.7,222.1,185.5,36.5,32.7,12.8,58,50.6,41.1,1,11.8,3,15.9,9.5,180.9,36.6,10.3,8.1,9.8,5.8,17.3,42.9,5.9,15.4,10.4,18.4,222.1
Newfoundland and Labrador,20-Nov,439.4,255.6,224.4,186.5,37.9,31.3,12.2,58.2,51.1,43.3,0.9,12.6,2.9,17.4,9.4,181.1,34.5,10.4,7.9,9.8,5.9,17.9,42.3,7.2,16.1,10,19.2,224.4
Prince Edward Island,20-Jan,130.2,86.8,80.3,68.4,11.9,6.5,7.5,66.7,61.7,20.1,4.6,1.9,0.2,7.3,6.1,60.3,11.5,2.8,3.1,4.2,2.2,5.7,11.4,2.3,5.9,3.6,7.7,80.3
Prince Edward Island,20-Feb,130.4,87.6,80.6,68.5,12.2,7,8,67.2,61.8,20,4.6,1.7,0.2,7.3,6.2,60.6,11.5,2.9,3.1,4.1,2.2,5.5,11.6,2.4,6,3.5,7.9,80.6
Prince Edward Island,20-Mar,130.7,85.9,78.5,67.3,11.2,7.4,8.6,65.7,60.1,19.9,4.7,1.9,0.2,6.9,6.2,58.6,11.4,2.7,3,4.4,2.4,5.5,11.2,1.8,4.5,3.5,8.1,78.5
Prince Edward Island,20-Apr,130.9,77.7,69.3,60.2,9.1,8.4,10.8,59.4,52.9,17.6,3.9,1.7,0.2,5.9,6,51.6,9.2,2.5,2.7,4,2.2,5.2,10,2,2.5,3.3,7.9,69.3
Prince Edward Island,20-May,131.1,83.5,71.9,62.1,9.8,11.6,13.9,63.7,54.8,18.1,4,2.2,0.3,6.8,4.8,53.8,10.4,2.7,2.6,4,2.3,5.5,10.7,1.9,2.5,3.4,7.9,71.9
Prince Edward Island,20-Jun,131.3,86.7,73.6,63.1,10.5,13.2,15.2,66,56.1,19.1,4.3,2.1,0.3,7,5.5,54.4,10.9,2.8,2.8,4.1,1.7,5.4,10.6,1.8,3,3.2,8,73.6
Prince Edward Island,20-Jul,131.6,84.7,74.7,61.8,12.9,9.9,11.7,64.4,56.8,19.1,3.9,1.8,0.3,6.7,6.4,55.7,10.5,2.5,3,4.4,1.4,5.5,11.3,2.2,3.3,3.5,8.1,74.7
Prince Edward Island,20-Aug,131.7,85.3,76.3,63.7,12.6,9.1,10.7,64.8,57.9,19.6,3.9,2.2,0.3,6.6,6.5,56.7,10.9,2.6,3.1,4.7,1.7,5.6,11.2,1.7,3.8,3.3,8.1,76.3
Prince Edward Island,20-Sep,131.9,84,75.5,62.9,12.6,8.5,10.1,63.7,57.2,19.4,3.6,2.1,0.2,6.5,6.9,56.1,10,2.7,2.9,4.3,2,5.7,10.6,1.9,4.4,3.1,8.5,75.5
Prince Edward Island,20-Oct,132,84.9,76.4,64.6,11.8,8.5,10,64.3,57.9,19.1,3.7,2.3,0.2,6.1,6.8,57.3,9.5,2.9,3.1,4.5,2.7,5.5,10.3,2.2,5.2,2.9,8.6,76.4
Prince Edward Island,20-Nov,132.2,86.3,77.4,64.7,12.7,8.8,10.2,65.3,58.5,19.4,3.6,2.4,0.2,6.3,6.8,58.1,10.2,2.7,3.1,4.3,2.9,5.7,11.2,2.1,5.3,2.4,8.3,77.4
Nova Scotia,20-Jan,813,504.5,467.3,382.3,85,37.2,7.4,62.1,57.5,88.9,5.5,10.1,3.5,35.6,34.2,378.4,79.9,19.1,22.9,27.7,19.3,35.7,72.3,17.3,38.4,16.6,29.2,467.3
Nova Scotia,20-Feb,813.6,510.9,471,380.3,90.7,39.8,7.8,62.8,57.9,89.5,5.9,10.2,3.7,34.6,35,381.5,79,19.9,22.6,28.6,19,35.6,73.9,19.1,38.3,16,29.7,471
Nova Scotia,20-Mar,814.3,490.2,446.2,372.6,73.6,44.1,9,60.2,54.8,87.8,5.4,10.3,3.7,34.1,34.3,358.3,70.8,20,23.1,28.7,17,33.6,73.7,17,29.4,15.4,29.4,446.2
Nova Scotia,20-Apr,814.8,449.6,395.6,333.8,61.8,54,12,55.2,48.6,78.3,5.5,10.4,3.5,29.4,29.6,317.2,57.5,18,22.7,28.1,16.6,33.3,68.6,12,18.1,12.2,30.3,395.6
Nova Scotia,20-May,815.2,467.5,404.2,334.2,69.9,63.4,13.6,57.3,49.6,80.5,5.3,10.2,3.5,32,29.6,323.7,62.6,16.8,21.9,29,16.2,32.9,66.9,12.9,19.9,12.3,32.3,404.2
Nova Scotia,20-Jun,816.1,497.7,433.1,358.2,74.9,64.6,13,61,53.1,83.3,6,11.6,3.6,31.8,30.3,349.8,67.3,18.9,21.6,28.7,16.4,34.3,73.7,15.5,28,14.7,30.7,433.1
Nova Scotia,20-Jul,816.9,489.2,436.5,357.5,78.9,52.8,10.8,59.9,53.4,82.6,5.5,12.2,3.4,31.1,30.5,353.9,68.2,18.2,22.3,29.8,17.8,36.9,73.1,16,25.5,15.3,30.8,436.5
Nova Scotia,20-Aug,817.7,494.5,443.7,355.9,87.8,50.8,10.3,60.5,54.3,83.6,4.9,10.7,3.8,32.8,31.3,360.2,66.1,18.6,23.1,31.2,16.4,39.4,71.8,16.2,28.8,18,30.5,443.7
Nova Scotia,20-Sep,818.7,494.5,455.7,363.8,91.9,38.9,7.9,60.4,55.7,84,5.2,9.4,4.2,33.4,31.9,371.7,67.7,18.8,24,31.1,17.4,39.9,75.4,16.4,31.9,18.8,30.3,455.7
Nova Scotia,20-Oct,819.4,502.4,458.5,374.4,84.1,43.8,8.7,61.3,56,85.8,7.9,8,4.2,33.7,31.9,372.8,69.1,18.7,24,32.2,17.3,41.9,72.2,15.9,33.8,16.8,30.6,458.5
Nova Scotia,20-Nov,820,500.7,468.5,383.2,85.3,32.2,6.4,61.1,57.1,88.6,8.3,8.7,4.3,34.5,32.8,379.8,71.9,19.6,24.9,32.1,17.7,41.6,74.8,16.1,33.3,17,30.9,468.5
New Brunswick,20-Jan,634.6,390.1,360.9,308.6,52.3,29.2,7.5,61.5,56.9,76.7,6.4,10.4,3.8,25.4,30.7,284.2,54.4,18.6,17.1,16.3,17.2,26.4,59.6,12.4,20.5,15,26.7,360.9
New Brunswick,20-Feb,635,387.9,361,310.1,50.9,26.9,6.9,61.1,56.9,76.7,6.5,10.2,3.5,26.1,30.4,284.3,54.7,18,16.5,16.2,17.7,26.7,59.3,12.3,21.6,14.6,26.8,361
New Brunswick,20-Mar,635.3,379.2,345.8,300.1,45.7,33.3,8.8,59.7,54.4,73.9,6.5,10.8,3.6,24.6,28.5,271.9,53.7,17.2,16.7,17.1,17.2,23,58.4,11.6,18.1,13.6,25.4,345.8
New Brunswick,20-Apr,635.7,358.7,311.4,272.2,39.3,47.2,13.2,56.4,49,64.1,5.5,10.1,3.5,20.2,24.8,247.4,45.9,16.3,15.7,15.8,13.3,23.4,56.8,9.7,13.5,11.2,25.9,311.4
New Brunswick,20-May,636,376.3,328.2,282.9,45.3,48.2,12.8,59.2,51.6,67.1,4.9,10.6,3.4,23,25.3,261,52.1,15.6,16,16.9,14,25.6,54.6,9.4,17.2,12.3,27.1,328.2
New Brunswick,20-Jun,636.4,389.1,350.4,296.4,54,38.7,9.9,61.1,55.1,71.3,5.6,9.7,3.3,24.3,28.4,279.1,58,16.2,17.1,17.7,15.7,27.9,59,10.5,17.7,13.1,26.1,350.4
New Brunswick,20-Jul,636.7,386.6,348.6,292.7,55.9,38,9.8,60.7,54.8,72,5.6,10.2,3.2,23.7,29.2,276.6,56.4,16,16.3,17.7,14.1,27.5,58.2,10.4,20,12.3,27.7,348.6
New Brunswick,20-Aug,637,384.1,347.9,293.1,54.7,36.2,9.4,60.3,54.6,72.7,4.6,10.8,3.5,24.1,29.7,275.2,55.3,16.2,16.1,17.8,14,27.1,58.3,9.6,20.4,13.6,26.8,347.9
New Brunswick,20-Sep,637.5,390.7,350.1,297.2,52.9,40.6,10.4,61.3,54.9,68.9,5.1,8.2,3.6,23.1,28.9,281.2,56,16.6,15.5,17.7,14.1,29.2,58.3,10.5,20.7,13.7,28.9,350.1
New Brunswick,20-Oct,637.9,392.3,352.7,300.9,51.7,39.6,10.1,61.5,55.3,70.8,4.7,8.9,3.5,24.6,29.1,281.9,57,16.9,15.7,18.8,14.9,28.9,57.5,9.9,19.8,13.8,28.6,352.7
New Brunswick,20-Nov,638.1,394.5,356.9,304.3,52.6,37.7,9.6,61.8,55.9,71.2,4.5,9.8,3.7,22.8,30.4,285.6,55.3,17.2,16.8,18.8,15.4,28.4,60,10,20.1,14.2,29.5,356.9
Quebec,20-Jan,7089.1,4597.2,4364.5,3563.1,801.4,232.7,5.1,64.8,61.6,906.9,60.1,38.9,23.9,283.1,501,3457.6,661.8,245.7,251.5,345.1,169.1,309.6,611.6,175.3,263.4,172.8,251.6,4364.5
Quebec,20-Feb,7095,4589.2,4384.5,3577,807.5,204.7,4.5,64.7,61.8,908,58.8,39.9,25.1,281.5,502.7,3476.5,663.5,245.3,254.9,353.3,167.6,318,602.2,183.4,263.7,176.1,248.6,4384.5
Quebec,20-Mar,7102.4,4483.3,4120.5,3485.4,635.1,362.8,8.1,63.1,58,899,53.7,40.8,23.8,279.2,501.5,3221.5,632.1,233.1,251.2,352.9,155.9,245.4,586.2,156.8,199.3,165.8,242.9,4120.5
Quebec,20-Apr,7106.8,4293.3,3564,3033.9,530.1,729.4,17,60.4,50.1,668.2,52.7,33,23.5,171.4,387.7,2895.8,531.6,201.9,235.7,329.3,144.1,263.1,551.2,138.7,130.3,127.5,242.4,3564
Quebec,20-May,7111,4398.9,3794.9,3263.5,531.4,603.9,13.7,61.9,53.4,792.3,54.3,39.9,25.1,229.3,443.8,3002.6,585.2,187,242.3,343.5,141.5,298.3,567,144.9,126.7,131.1,235.1,3794.9
Quebec,20-Jun,7116.4,4527.6,4042.4,3370.7,671.7,485.3,10.7,63.6,56.8,833.7,53.1,35.5,24,254,467.1,3208.7,636.1,216.9,247.4,335.3,169.4,307.7,603.5,149.7,161.4,143,238.3,4042.4
Quebec,20-Jul,7119.9,4576.8,4140,3370,770,436.8,9.5,64.3,58.1,843.7,55,37.7,23.1,257.8,470.1,3296.3,654.1,215.5,244.9,341.9,156.1,316.8,610.8,161.2,207.2,152.6,235.1,4140
Quebec,20-Aug,7125.1,4592.6,4194.2,3430.9,763.3,398.4,8.7,64.5,58.9,861.4,55.4,35.9,23.1,269.6,477.4,3332.8,668.8,219.9,247.1,345.6,166.9,317.2,601.2,159.7,211.2,160.5,234.7,4194.2
Quebec,20-Sep,7132.4,4612.8,4270.9,3476.2,794.7,341.9,7.4,64.7,59.9,875,55.9,37.2,24.8,269.7,487.3,3395.9,673.1,226.8,248,353.2,162.8,341.1,605.5,165.2,224.7,156.9,238.5,4270.9
Quebec,20-Oct,7137.5,4612.2,4258,3498.4,759.5,354.2,7.7,64.6,59.7,869.2,56.3,39.9,24.8,270.5,477.7,3388.8,667.8,234.7,262,360.6,166.3,350.1,608.4,153.8,183.1,159.9,242.1,4258
Quebec,20-Nov,7142.7,4603.4,4273.7,3513.8,760,329.7,7.2,64.4,59.8,877,64.1,37.5,25.3,266,484.1,3396.8,673.6,237.9,255.6,372.3,170.9,353.2,609.4,144.7,173.8,157.8,247.6,4273.7
Ontario,20-Jan,12253.3,7973.6,7558.3,6173.7,1384.6,415.3,5.2,65.1,61.7,1479.9,79.7,35.5,55.7,562.3,746.6,6078.4,1114.4,400,601.8,707.2,323.3,552.2,922.2,308.3,461,297.9,390,7558.3
Ontario,20-Feb,12267.5,7991.5,7555.1,6194,1361.1,436.4,5.5,65.1,61.6,1493.6,79.9,35.1,54.2,563.1,761.4,6061.5,1115.9,401.7,604.2,687.2,326.9,547.9,924.8,308.8,448.5,300.8,394.7,7555.1
Ontario,20-Mar,12289.1,7737.9,7152.3,5945.5,1206.8,585.6,7.6,63,58.2,1440.8,73.4,32.9,46.5,558.2,729.8,5711.5,1028.3,393,598,684.9,329.4,523.1,868.7,278.6,328.9,287.2,391.4,7152.3
Ontario,20-Apr,12298.2,7285.6,6463.1,5481.1,982,822.4,11.3,59.2,52.6,1248.7,74.1,32.5,48.9,464.4,628.9,5214.4,885,351.9,595.2,657.8,303.9,486.5,830.5,244.9,232.7,244.4,381.7,6463.1
Ontario,20-May,12307.2,7402.1,6398.6,5421.9,976.8,"1,003.40",13.6,60.1,52,1264,70.4,34.8,48.7,467.5,642.6,5134.6,888.8,345.3,601,637.6,270.7,469.6,816.8,232.3,242.9,243.3,386.3,6398.6
Ontario,20-Jun,12321.6,7719.9,6776.5,5641.4,1135.1,943.4,12.2,62.7,55,1365.6,71,33.8,50.4,501.6,708.8,5410.9,996.2,351,604.9,631.9,293.1,498.2,847.3,265.6,284.5,251.4,386.9,6776.5
Ontario,20-Jul,12333.1,7813.8,6927.2,5647,1280.2,886.6,11.3,63.4,56.2,1386.5,71.8,36.1,49,515,714.6,5540.7,1053.5,351.8,603.5,649.6,291.4,491,876.1,264.1,296.9,274.9,387.8,6927.2
Ontario,20-Aug,12341.6,7910.4,7069,5760.6,1308.3,841.4,10.6,64.1,57.3,1381.7,71.4,33.9,49.5,499.8,727.1,5687.3,1070.7,350.4,597.3,671.1,293.7,521.1,896,281.6,329.7,283,392.6,7069
Ontario,20-Sep,12356.4,7993.9,7236.6,5943,1293.6,757.4,9.5,64.7,58.6,1448.2,69.9,37.9,52,509.6,778.8,5788.3,1039.8,356.2,609.4,689.7,284,550.2,890.5,295.1,386.7,295.5,391.2,7236.6
Ontario,20-Oct,12367.2,8035.2,7267.2,5952.8,1314.4,768,9.6,65,58.8,1452.3,70.9,39.5,52.6,516.5,772.9,5814.9,1085.5,336.8,610.8,712.2,282,543,894.9,300.6,378.1,290.6,380.5,7267.2
Ontario,20-Nov,12378.9,8037.5,7303.8,6012.1,1291.7,733.7,9.1,64.9,59,1483,73.1,39.6,50.9,544.9,774.6,5820.8,1092.9,344.8,625.3,706,283.4,539.2,893,296.5,362.8,290.9,386,7303.8
Manitoba,20-Jan,1044.2,696.7,661,524.3,136.6,35.7,5.1,66.7,63.3,149.5,26.4,4.9,6.6,48.3,63.3,511.5,93.2,40.2,34.1,30.5,21.9,53.1,107.1,21.8,44.8,28.4,36.4,661
Manitoba,20-Feb,1045,699.5,664.2,525,139.2,35.3,5,66.9,63.6,149.9,27.3,5,6.5,48.5,62.6,514.3,94.2,40.2,33.5,31.2,23.1,53.5,108.3,22.5,43.6,28.7,35.5,664.2
Manitoba,20-Mar,1046.3,682.7,638.9,515.3,123.5,43.9,6.4,65.2,61.1,148.7,27.8,5.1,6.6,47.2,62,490.2,88.5,40.6,32.8,31.1,22.1,52.4,104.2,19.7,36.8,26.7,35.4,638.9
Manitoba,20-Apr,1046.2,648.4,574.7,477.7,97,73.7,11.4,62,54.9,135.9,28.5,3.7,6.4,41.1,56.2,438.9,74.6,35.7,32.2,29.8,20.6,52.2,93,15.3,25.4,25.6,34.4,574.7
Manitoba,20-May,1046.2,662.2,587.8,480.8,107,74.4,11.2,63.3,56.2,137.2,27.4,4.7,5.7,43.7,55.5,450.6,81.6,35.6,31.4,30.5,21.8,49.5,93.9,17,28.2,26.3,34.8,587.8
Manitoba,20-Jun,1046.5,685.8,616.7,495.6,121.2,69.1,10.1,65.5,58.9,141.4,26.2,5.1,6.1,46.9,57.1,475.3,86.6,36.7,33.3,30.5,23.1,48.5,98.8,19.7,33.7,28.8,35.5,616.7
Manitoba,20-Jul,1046.8,685.3,629.1,501.8,127.3,56.3,8.2,65.5,60.1,140.6,25.4,5.1,5.7,46.6,57.7,488.4,86.6,35.9,33.7,32.4,21.3,55,99.9,20.2,37.9,29.7,35.8,629.1
Manitoba,20-Aug,1047.2,693.1,637.2,507.5,129.7,56,8.1,66.2,60.8,139.9,25.8,4.9,5.5,46.6,57,497.3,88.7,38,35.5,32,20.7,55.7,101.5,21.5,37.8,30.9,35.1,637.2
Manitoba,20-Sep,1047.5,701.6,652.3,518.3,134,49.3,7,67,62.3,142.7,25.2,3.8,5.5,48.8,59.3,509.6,90,41.4,34,31.6,23.4,57.9,103.9,21.4,38.4,31.1,36.4,652.3
Manitoba,20-Oct,1047.9,700.2,650.5,517,133.5,49.7,7.1,66.8,62.1,141.6,24.3,3.5,5.5,48.5,59.9,508.9,89.9,41.7,34.6,32.2,22.4,57.5,103.6,21.8,37.1,31,37,650.5
Manitoba,20-Nov,1048.2,683.4,632.4,514.5,118,50.9,7.4,65.2,60.3,140.6,25.1,3.3,5,46.5,60.7,491.8,90.9,41.5,34.5,30.7,22.1,56.3,102.5,19.8,27.3,30.2,36,632.4
Saskatchewan,20-Jan,893.1,617.5,580.2,477,103.2,37.3,6,69.1,65,141.9,39.9,20.5,5.7,42.9,32.8,438.3,83.4,26,30.9,27.9,15.6,46.9,80.5,23.5,40.8,29.2,33.6,580.2
Saskatchewan,20-Feb,893.6,619,580.7,475.3,105.5,38.3,6.2,69.3,65,142.5,39.4,20.8,5.7,43.3,33.3,438.3,85.7,26.4,30.1,27.7,15.6,47.2,80.4,23.4,39.2,29.4,33.2,580.7
Saskatchewan,20-Mar,894.7,603.6,559.8,469.2,90.5,43.8,7.3,67.5,62.6,137,37.9,19.4,5.8,43.5,30.3,422.8,83.5,24.3,30.3,28.4,16.1,44.7,80,21.5,32,29.2,33,559.8
Saskatchewan,20-Apr,894.6,571.6,506.9,429.3,77.6,64.7,11.3,63.9,56.7,128.2,38.2,17.7,5.8,38.3,28.1,378.7,72.9,22.9,29.4,27,14,41.4,74.6,16.7,20.8,26.5,32.6,506.9
Saskatchewan,20-May,893.9,579.9,507.5,424.8,82.7,72.4,12.5,64.9,56.8,127.6,38.8,17,5.4,36.9,29.6,379.9,77,22.9,29.1,26.2,14.6,41.8,74.5,14.4,22,25.5,31.9,507.5
Saskatchewan,20-Jun,893.8,608.1,537.8,444.9,93,70.3,11.6,68,60.2,131.8,37.7,18.3,5.8,40,30,406,82.9,26.8,29.1,27.5,16.2,41.7,79.3,17.2,23.5,29.1,32.7,537.8
Saskatchewan,20-Jul,893.6,604.2,551.1,455.4,95.7,53.1,8.8,67.6,61.7,134,36.6,19.8,5.9,40.2,31.5,417.1,83.4,24.8,30.4,25.9,16.5,45.9,80,20.1,25.9,29.6,34.7,551.1
Saskatchewan,20-Aug,893.9,603.4,555.8,456.6,99.2,47.7,7.9,67.5,62.2,135.2,35.4,19.9,6.1,41.8,32.1,420.6,84.2,25.8,30,27.1,16.7,46.8,80.6,18.3,26.4,30.3,34.5,555.8
Saskatchewan,20-Sep,893.9,605.8,564.5,461.8,102.7,41.4,6.8,67.8,63.2,134.4,34.8,20.7,6.4,42.3,30.2,430.1,90.4,25,30.8,26.9,16.9,46.2,82.2,18.1,28.3,30.7,34.6,564.5
Saskatchewan,20-Oct,893.8,601.2,562.9,459.8,103.1,38.2,6.4,67.3,63,134.5,34.9,20.8,6.4,41.1,31.3,428.5,90.3,25.5,29.2,27.4,16,46.7,82.5,15.3,30.3,31.2,34.2,562.9
Saskatchewan,20-Nov,894,601.8,560.1,461.3,98.9,41.7,6.9,67.3,62.7,133.4,34.7,20.7,6.4,41,30.5,426.7,88,25.6,28.1,28,16.3,45.3,83,13.8,31,32,35.6,560.1
Alberta,20-Jan,3557.7,2500.1,2318.5,1895,423.5,181.7,7.3,70.3,65.2,577.2,50.6,140.3,22.6,229,134.7,1741.3,330.6,128.4,107.8,190.7,73.8,162.7,301.8,77.6,156.6,105.2,106,2318.5
Alberta,20-Feb,3561.4,2510.2,2329.9,1898.3,431.6,180.3,7.2,70.5,65.4,571.3,49.8,136,22.4,225.4,137.6,1758.6,337.5,129.2,106.6,187.5,74,158.7,306.3,82.4,156.8,112.5,107.1,2329.9
Alberta,20-Mar,3566.7,2423.3,2212.8,1854.8,358,210.5,8.7,67.9,62,583.7,48.8,144.7,23.4,230.7,136.2,1629.2,310,126.3,104,185.8,74.3,157.5,286.2,61.1,113.1,103.9,107,2212.8
Alberta,20-Apr,3569.5,2273.3,1969,1672.3,296.7,304.3,13.4,63.7,55.2,513.9,44.3,133,21.2,197.5,117.9,1455.1,260.2,109.2,102.9,169.3,69.3,147.7,271,63.1,77.5,80.2,104.9,1969
Alberta,20-May,3571.9,2362.3,1997.2,1645.5,351.7,365.1,15.5,66.1,55.9,509.1,43.6,129,21.1,194.3,121.1,1488.1,269.5,116.4,105.9,169.7,73.9,141.9,275.2,59,85.2,92.2,99.2,1997.2
Alberta,20-Jun,3576.2,2471.3,2088.8,1717.5,371.3,382.5,15.5,69.1,58.4,518.4,43.1,127.5,20.2,210.8,116.9,1570.3,295.7,116.3,111.7,163.8,78.5,138.4,298.3,73.3,97.1,96.2,101,2088.8
Alberta,20-Jul,3578,2472.2,2156.1,1747.9,408.2,316.1,12.8,69.1,60.3,536.6,44.7,131.7,21,219.6,119.6,1619.5,310.3,121.4,109.4,171.3,74.6,142,303.8,74.5,111.4,101.3,99.6,2156.1
Alberta,20-Aug,3580.1,2456.2,2165.8,1756.1,409.7,290.4,11.8,68.6,60.5,525.8,38.6,125.1,22.2,219.2,120.8,1640,318.6,121.3,107.5,184.3,74.4,144.9,304.1,75.6,114.5,97.1,97.9,2165.8
Alberta,20-Sep,3583,2497.3,2204,1790.6,413.4,293.2,11.7,69.7,61.5,533.9,41.1,128.2,23.2,220.5,121,1670.1,322.5,124.6,110.4,179.3,72.8,155.2,302.5,84.3,113,99.4,106.1,2204
Alberta,20-Oct,3585.8,2494.6,2227.4,1803.4,424,267.1,10.7,69.6,62.1,542,37.1,132.2,23.9,222.2,126.7,1685.4,329.6,131.8,111.8,182.4,71.8,153.4,311,77.1,112.1,102.3,102,2227.4
Alberta,20-Nov,3588.7,2493.4,2216.6,1774,442.6,276.7,11.1,69.5,61.8,545.2,39.5,136.9,22.8,224.4,121.7,1671.5,331.6,131.3,118.4,178.8,60,150.6,307.7,75.4,112.5,102.2,102.8,2216.6
British Columbia,20-Jan,4140.3,2664.5,2545.6,1991.1,554.5,118.8,4.5,64.4,61.5,481,26.8,40.1,12.2,237.9,164,2064.6,394.9,140.6,164.7,219.7,106.3,180.6,309.7,120.5,195.3,117.1,115.3,2545.6
British Columbia,20-Feb,4146.5,2673.8,2539.1,1994.5,544.6,134.7,5,64.5,61.2,479.6,26.9,38.2,14.8,240.1,159.7,2059.5,403.3,138,162.7,216.7,109.9,176.1,311.7,118.2,195.1,114.9,112.8,2539.1
British Columbia,20-Mar,4154.4,2593.4,2406.7,1937.6,469.1,186.7,7.2,62.4,57.9,480.1,30.7,37.7,15.5,233.9,162.4,1926.5,363.2,131.4,153.4,215.5,99.1,169.1,307,101.4,158.7,113.5,114.4,2406.7
British Columbia,20-Apr,4158.3,2421,2142.6,1742.7,399.9,278.4,11.5,58.2,51.5,433.2,24.6,37.5,17.9,199.8,153.5,1709.3,327.7,123.2,150.6,217.4,84.4,160.5,286.6,84,83,84.4,107.5,2142.6
British Columbia,20-May,4162.3,2524,2185.9,1797.8,388.1,338.1,13.4,60.6,52.5,436.1,26.7,37.9,18.4,198.4,154.7,1749.8,339.5,116,154.2,217.7,82.4,172.4,294,87.9,95.4,81.1,109.2,2185.9
British Columbia,20-Jun,4169,2649.5,2304,1814.2,489.8,345.5,13,63.6,55.3,439.2,26.3,39.1,19.3,206.6,147.9,1864.8,355.6,119.5,152.2,235.3,84.5,173.3,303.8,90,150.2,88.8,111.7,2304
British Columbia,20-Jul,4175.6,2669.5,2374.2,1835.9,538.3,295.3,11.1,63.9,56.9,448.6,24.5,38.5,18.8,211.6,155.2,1925.6,379.8,125.5,154.7,233,85.6,166,301.4,99,174.3,94.1,112.2,2374.2
British Columbia,20-Aug,4179.9,2674.3,2389.5,1849.2,540.3,284.9,10.7,64,57.2,469.3,31.1,40,21.5,215.5,161.2,1920.2,369.4,126,154.5,222.2,89.1,163.6,305.5,93,180.7,104.5,111.7,2389.5
British Columbia,20-Sep,4185.4,2668,2444.3,1887.7,556.6,223.7,8.4,63.7,58.4,459.3,30.2,39.1,21.1,200.9,168,1985,369.9,125.5,162.1,226.4,104.8,180.7,309.9,111.5,178.5,103,112.8,2444.3
British Columbia,20-Oct,4189.4,2692.8,2477.8,1895.5,582.3,215,8,64.3,59.1,470.3,33,43,20.5,200,173.9,2007.5,370.6,124.1,165,229.5,103.1,182.6,318.3,115.7,180.6,102.8,115.3,2477.8
British Columbia,20-Nov,4193.4,2694.1,2501.7,1937.6,564.1,192.4,7.1,64.2,59.7,471.9,30.7,47.5,18.8,205.7,169.2,2029.8,376.8,130.4,163,233.8,103.9,184.1,316.6,111.3,187.9,103,119.1,2501.7
