Province,Date,Goods producing sector,Agriculture,"Forestry, fishing, mining, quarrying, oil and gas",Utilities,Construction,Manufacturing,Services producing sector ,Wholesale and retail trade,Transportation and warehousing,Finance insurance real estate rental and leasing,"Professional, scientific and technical services","Business, building and other support services ",Educational services,Health care and social assistance,Information culture and recreation,Accommodation and food services,Other services except public administration,Public administration
Newfoundland and Labrador,20-Jan,43.9,1.6,12.2,2.4,18.5,9.4,178.6,35.3,11.4,6.1,9.2,7.2,17.4,38.3,6.4,17.3,12,18.1
Newfoundland and Labrador,20-Feb,44.6,1.6,13.6,2.5,17.9,9,178.7,36,11.3,6.8,9.1,7.1,16.9,38.4,6.3,17.8,11.9,17.1
Newfoundland and Labrador,20-Mar,44.3,1.6,13.1,2.5,18.2,9,173.1,34,11.7,7,9.3,7.2,16.6,38.5,5.4,15.4,11.6,16.4
Newfoundland and Labrador,20-Apr,33.8,1.8,9,2.4,14.1,6.5,154.4,28.9,9.1,5.9,8.8,6.7,16.3,37.1,5,12.6,8.7,15.3
Newfoundland and Labrador,20-May,35.2,0.7,12.8,2.4,11.5,7.8,163.1,31.8,10,6.5,9.1,6.3,16.9,37.5,5.2,13.3,9.5,17
Newfoundland and Labrador,20-Jun,37.2,1.7,12.2,2.6,12.1,8.6,167,34,9.1,7,9.6,6.9,15.8,37,5.2,14.8,10.7,17
Newfoundland and Labrador,20-Jul,37.4,1.2,12.8,2.6,13.2,7.6,171.1,32,10.5,8,9.5,7.1,15.3,38.6,6.7,14.8,10.8,17.8
Newfoundland and Labrador,20-Aug,37.1,0.9,13.5,2.7,11.9,8,175.5,32.9,10,7.4,9.7,7.4,16.3,40.7,6.5,14.8,11.7,17.9
Newfoundland and Labrador,20-Sep,39.9,0.9,12,2.9,14,10.1,176.3,34.1,9.8,7.9,9.8,5.7,17.4,41.9,6.4,15.1,10.5,17.8
Newfoundland and Labrador,20-Oct,41.1,1,11.8,3,15.9,9.5,180.9,36.6,10.3,8.1,9.8,5.8,17.3,42.9,5.9,15.4,10.4,18.4
Newfoundland and Labrador,20-Nov,43.3,0.9,12.6,2.9,17.4,9.4,181.1,34.5,10.4,7.9,9.8,5.9,17.9,42.3,7.2,16.1,10,19.2
Prince Edward Island,20-Jan,20.1,4.6,1.9,0.2,7.3,6.1,60.3,11.5,2.8,3.1,4.2,2.2,5.7,11.4,2.3,5.9,3.6,7.7
Prince Edward Island,20-Feb,20,4.6,1.7,0.2,7.3,6.2,60.6,11.5,2.9,3.1,4.1,2.2,5.5,11.6,2.4,6,3.5,7.9
Prince Edward Island,20-Mar,19.9,4.7,1.9,0.2,6.9,6.2,58.6,11.4,2.7,3,4.4,2.4,5.5,11.2,1.8,4.5,3.5,8.1
Prince Edward Island,20-Apr,17.6,3.9,1.7,0.2,5.9,6,51.6,9.2,2.5,2.7,4,2.2,5.2,10,2,2.5,3.3,7.9
Prince Edward Island,20-May,18.1,4,2.2,0.3,6.8,4.8,53.8,10.4,2.7,2.6,4,2.3,5.5,10.7,1.9,2.5,3.4,7.9
Prince Edward Island,20-Jun,19.1,4.3,2.1,0.3,7,5.5,54.4,10.9,2.8,2.8,4.1,1.7,5.4,10.6,1.8,3,3.2,8
Prince Edward Island,20-Jul,19.1,3.9,1.8,0.3,6.7,6.4,55.7,10.5,2.5,3,4.4,1.4,5.5,11.3,2.2,3.3,3.5,8.1
Prince Edward Island,20-Aug,19.6,3.9,2.2,0.3,6.6,6.5,56.7,10.9,2.6,3.1,4.7,1.7,5.6,11.2,1.7,3.8,3.3,8.1
Prince Edward Island,20-Sep,19.4,3.6,2.1,0.2,6.5,6.9,56.1,10,2.7,2.9,4.3,2,5.7,10.6,1.9,4.4,3.1,8.5
Prince Edward Island,20-Oct,19.1,3.7,2.3,0.2,6.1,6.8,57.3,9.5,2.9,3.1,4.5,2.7,5.5,10.3,2.2,5.2,2.9,8.6
Prince Edward Island,20-Nov,19.4,3.6,2.4,0.2,6.3,6.8,58.1,10.2,2.7,3.1,4.3,2.9,5.7,11.2,2.1,5.3,2.4,8.3
Nova Scotia,20-Jan,88.9,5.5,10.1,3.5,35.6,34.2,378.4,79.9,19.1,22.9,27.7,19.3,35.7,72.3,17.3,38.4,16.6,29.2
Nova Scotia,20-Feb,89.5,5.9,10.2,3.7,34.6,35,381.5,79,19.9,22.6,28.6,19,35.6,73.9,19.1,38.3,16,29.7
Nova Scotia,20-Mar,87.8,5.4,10.3,3.7,34.1,34.3,358.3,70.8,20,23.1,28.7,17,33.6,73.7,17,29.4,15.4,29.4
Nova Scotia,20-Apr,78.3,5.5,10.4,3.5,29.4,29.6,317.2,57.5,18,22.7,28.1,16.6,33.3,68.6,12,18.1,12.2,30.3
Nova Scotia,20-May,80.5,5.3,10.2,3.5,32,29.6,323.7,62.6,16.8,21.9,29,16.2,32.9,66.9,12.9,19.9,12.3,32.3
Nova Scotia,20-Jun,83.3,6,11.6,3.6,31.8,30.3,349.8,67.3,18.9,21.6,28.7,16.4,34.3,73.7,15.5,28,14.7,30.7
Nova Scotia,20-Jul,82.6,5.5,12.2,3.4,31.1,30.5,353.9,68.2,18.2,22.3,29.8,17.8,36.9,73.1,16,25.5,15.3,30.8
Nova Scotia,20-Aug,83.6,4.9,10.7,3.8,32.8,31.3,360.2,66.1,18.6,23.1,31.2,16.4,39.4,71.8,16.2,28.8,18,30.5
Nova Scotia,20-Sep,84,5.2,9.4,4.2,33.4,31.9,371.7,67.7,18.8,24,31.1,17.4,39.9,75.4,16.4,31.9,18.8,30.3
Nova Scotia,20-Oct,85.8,7.9,8,4.2,33.7,31.9,372.8,69.1,18.7,24,32.2,17.3,41.9,72.2,15.9,33.8,16.8,30.6
Nova Scotia,20-Nov,88.6,8.3,8.7,4.3,34.5,32.8,379.8,71.9,19.6,24.9,32.1,17.7,41.6,74.8,16.1,33.3,17,30.9
New Brunswick,20-Jan,76.7,6.4,10.4,3.8,25.4,30.7,284.2,54.4,18.6,17.1,16.3,17.2,26.4,59.6,12.4,20.5,15,26.7
New Brunswick,20-Feb,76.7,6.5,10.2,3.5,26.1,30.4,284.3,54.7,18,16.5,16.2,17.7,26.7,59.3,12.3,21.6,14.6,26.8
New Brunswick,20-Mar,73.9,6.5,10.8,3.6,24.6,28.5,271.9,53.7,17.2,16.7,17.1,17.2,23,58.4,11.6,18.1,13.6,25.4
New Brunswick,20-Apr,64.1,5.5,10.1,3.5,20.2,24.8,247.4,45.9,16.3,15.7,15.8,13.3,23.4,56.8,9.7,13.5,11.2,25.9
New Brunswick,20-May,67.1,4.9,10.6,3.4,23,25.3,261,52.1,15.6,16,16.9,14,25.6,54.6,9.4,17.2,12.3,27.1
New Brunswick,20-Jun,71.3,5.6,9.7,3.3,24.3,28.4,279.1,58,16.2,17.1,17.7,15.7,27.9,59,10.5,17.7,13.1,26.1
New Brunswick,20-Jul,72,5.6,10.2,3.2,23.7,29.2,276.6,56.4,16,16.3,17.7,14.1,27.5,58.2,10.4,20,12.3,27.7
New Brunswick,20-Aug,72.7,4.6,10.8,3.5,24.1,29.7,275.2,55.3,16.2,16.1,17.8,14,27.1,58.3,9.6,20.4,13.6,26.8
New Brunswick,20-Sep,68.9,5.1,8.2,3.6,23.1,28.9,281.2,56,16.6,15.5,17.7,14.1,29.2,58.3,10.5,20.7,13.7,28.9
New Brunswick,20-Oct,70.8,4.7,8.9,3.5,24.6,29.1,281.9,57,16.9,15.7,18.8,14.9,28.9,57.5,9.9,19.8,13.8,28.6
New Brunswick,20-Nov,71.2,4.5,9.8,3.7,22.8,30.4,285.6,55.3,17.2,16.8,18.8,15.4,28.4,60,10,20.1,14.2,29.5
Quebec,20-Jan,906.9,60.1,38.9,23.9,283.1,501,"3,457.60",661.8,245.7,251.5,345.1,169.1,309.6,611.6,175.3,263.4,172.8,251.6
Quebec,20-Feb,908,58.8,39.9,25.1,281.5,502.7,"3,476.50",663.5,245.3,254.9,353.3,167.6,318,602.2,183.4,263.7,176.1,248.6
Quebec,20-Mar,899,53.7,40.8,23.8,279.2,501.5,"3,221.50",632.1,233.1,251.2,352.9,155.9,245.4,586.2,156.8,199.3,165.8,242.9
Quebec,20-Apr,668.2,52.7,33,23.5,171.4,387.7,"2,895.80",531.6,201.9,235.7,329.3,144.1,263.1,551.2,138.7,130.3,127.5,242.4
Quebec,20-May,792.3,54.3,39.9,25.1,229.3,443.8,"3,002.60",585.2,187,242.3,343.5,141.5,298.3,567,144.9,126.7,131.1,235.1
Quebec,20-Jun,833.7,53.1,35.5,24,254,467.1,"3,208.70",636.1,216.9,247.4,335.3,169.4,307.7,603.5,149.7,161.4,143,238.3
Quebec,20-Jul,843.7,55,37.7,23.1,257.8,470.1,"3,296.30",654.1,215.5,244.9,341.9,156.1,316.8,610.8,161.2,207.2,152.6,235.1
Quebec,20-Aug,861.4,55.4,35.9,23.1,269.6,477.4,"3,332.80",668.8,219.9,247.1,345.6,166.9,317.2,601.2,159.7,211.2,160.5,234.7
Quebec,20-Sep,875,55.9,37.2,24.8,269.7,487.3,"3,395.90",673.1,226.8,248,353.2,162.8,341.1,605.5,165.2,224.7,156.9,238.5
Quebec,20-Oct,869.2,56.3,39.9,24.8,270.5,477.7,"3,388.80",667.8,234.7,262,360.6,166.3,350.1,608.4,153.8,183.1,159.9,242.1
Quebec,20-Nov,877,64.1,37.5,25.3,266,484.1,"3,396.80",673.6,237.9,255.6,372.3,170.9,353.2,609.4,144.7,173.8,157.8,247.6
Ontario,20-Jan,"1,479.90",79.7,35.5,55.7,562.3,746.6,"6,078.40","1,114.40",400,601.8,707.2,323.3,552.2,922.2,308.3,461,297.9,390
Ontario,20-Feb,"1,493.60",79.9,35.1,54.2,563.1,761.4,"6,061.50","1,115.90",401.7,604.2,687.2,326.9,547.9,924.8,308.8,448.5,300.8,394.7
Ontario,20-Mar,"1,440.80",73.4,32.9,46.5,558.2,729.8,"5,711.50","1,028.30",393,598,684.9,329.4,523.1,868.7,278.6,328.9,287.2,391.4
Ontario,20-Apr,"1,248.70",74.1,32.5,48.9,464.4,628.9,"5,214.40",885,351.9,595.2,657.8,303.9,486.5,830.5,244.9,232.7,244.4,381.7
Ontario,20-May,"1,264.00",70.4,34.8,48.7,467.5,642.6,"5,134.60",888.8,345.3,601,637.6,270.7,469.6,816.8,232.3,242.9,243.3,386.3
Ontario,20-Jun,"1,365.60",71,33.8,50.4,501.6,708.8,"5,410.90",996.2,351,604.9,631.9,293.1,498.2,847.3,265.6,284.5,251.4,386.9
Ontario,20-Jul,"1,386.50",71.8,36.1,49,515,714.6,"5,540.70","1,053.50",351.8,603.5,649.6,291.4,491,876.1,264.1,296.9,274.9,387.8
Ontario,20-Aug,"1,381.70",71.4,33.9,49.5,499.8,727.1,"5,687.30","1,070.70",350.4,597.3,671.1,293.7,521.1,896,281.6,329.7,283,392.6
Ontario,20-Sep,"1,448.20",69.9,37.9,52,509.6,778.8,"5,788.30","1,039.80",356.2,609.4,689.7,284,550.2,890.5,295.1,386.7,295.5,391.2
Ontario,20-Oct,"1,452.30",70.9,39.5,52.6,516.5,772.9,"5,814.90","1,085.50",336.8,610.8,712.2,282,543,894.9,300.6,378.1,290.6,380.5
Ontario,20-Nov,"1,483.00",73.1,39.6,50.9,544.9,774.6,"5,820.80","1,092.90",344.8,625.3,706,283.4,539.2,893,296.5,362.8,290.9,386
Manitoba,20-Jan,149.5,26.4,4.9,6.6,48.3,63.3,511.5,93.2,40.2,34.1,30.5,21.9,53.1,107.1,21.8,44.8,28.4,36.4
Manitoba,20-Feb,149.9,27.3,5,6.5,48.5,62.6,514.3,94.2,40.2,33.5,31.2,23.1,53.5,108.3,22.5,43.6,28.7,35.5
Manitoba,20-Mar,148.7,27.8,5.1,6.6,47.2,62,490.2,88.5,40.6,32.8,31.1,22.1,52.4,104.2,19.7,36.8,26.7,35.4
Manitoba,20-Apr,135.9,28.5,3.7,6.4,41.1,56.2,438.9,74.6,35.7,32.2,29.8,20.6,52.2,93,15.3,25.4,25.6,34.4
Manitoba,20-May,137.2,27.4,4.7,5.7,43.7,55.5,450.6,81.6,35.6,31.4,30.5,21.8,49.5,93.9,17,28.2,26.3,34.8
Manitoba,20-Jun,141.4,26.2,5.1,6.1,46.9,57.1,475.3,86.6,36.7,33.3,30.5,23.1,48.5,98.8,19.7,33.7,28.8,35.5
Manitoba,20-Jul,140.6,25.4,5.1,5.7,46.6,57.7,488.4,86.6,35.9,33.7,32.4,21.3,55,99.9,20.2,37.9,29.7,35.8
Manitoba,20-Aug,139.9,25.8,4.9,5.5,46.6,57,497.3,88.7,38,35.5,32,20.7,55.7,101.5,21.5,37.8,30.9,35.1
Manitoba,20-Sep,142.7,25.2,3.8,5.5,48.8,59.3,509.6,90,41.4,34,31.6,23.4,57.9,103.9,21.4,38.4,31.1,36.4
Manitoba,20-Oct,141.6,24.3,3.5,5.5,48.5,59.9,508.9,89.9,41.7,34.6,32.2,22.4,57.5,103.6,21.8,37.1,31,37
Manitoba,20-Nov,140.6,25.1,3.3,5,46.5,60.7,491.8,90.9,41.5,34.5,30.7,22.1,56.3,102.5,19.8,27.3,30.2,36
Saskatchewan,20-Jan,141.9,39.9,20.5,5.7,42.9,32.8,438.3,83.4,26,30.9,27.9,15.6,46.9,80.5,23.5,40.8,29.2,33.6
Saskatchewan,20-Feb,142.5,39.4,20.8,5.7,43.3,33.3,438.3,85.7,26.4,30.1,27.7,15.6,47.2,80.4,23.4,39.2,29.4,33.2
Saskatchewan,20-Mar,137,37.9,19.4,5.8,43.5,30.3,422.8,83.5,24.3,30.3,28.4,16.1,44.7,80,21.5,32,29.2,33
Saskatchewan,20-Apr,128.2,38.2,17.7,5.8,38.3,28.1,378.7,72.9,22.9,29.4,27,14,41.4,74.6,16.7,20.8,26.5,32.6
Saskatchewan,20-May,127.6,38.8,17,5.4,36.9,29.6,379.9,77,22.9,29.1,26.2,14.6,41.8,74.5,14.4,22,25.5,31.9
Saskatchewan,20-Jun,131.8,37.7,18.3,5.8,40,30,406,82.9,26.8,29.1,27.5,16.2,41.7,79.3,17.2,23.5,29.1,32.7
Saskatchewan,20-Jul,134,36.6,19.8,5.9,40.2,31.5,417.1,83.4,24.8,30.4,25.9,16.5,45.9,80,20.1,25.9,29.6,34.7
Saskatchewan,20-Aug,135.2,35.4,19.9,6.1,41.8,32.1,420.6,84.2,25.8,30,27.1,16.7,46.8,80.6,18.3,26.4,30.3,34.5
Saskatchewan,20-Sep,134.4,34.8,20.7,6.4,42.3,30.2,430.1,90.4,25,30.8,26.9,16.9,46.2,82.2,18.1,28.3,30.7,34.6
Saskatchewan,20-Oct,134.5,34.9,20.8,6.4,41.1,31.3,428.5,90.3,25.5,29.2,27.4,16,46.7,82.5,15.3,30.3,31.2,34.2
Saskatchewan,20-Nov,133.4,34.7,20.7,6.4,41,30.5,426.7,88,25.6,28.1,28,16.3,45.3,83,13.8,31,32,35.6
Alberta,20-Jan,577.2,50.6,140.3,22.6,229,134.7,"1,741.30",330.6,128.4,107.8,190.7,73.8,162.7,301.8,77.6,156.6,105.2,106
Alberta,20-Feb,571.3,49.8,136,22.4,225.4,137.6,"1,758.60",337.5,129.2,106.6,187.5,74,158.7,306.3,82.4,156.8,112.5,107.1
Alberta,20-Mar,583.7,48.8,144.7,23.4,230.7,136.2,"1,629.20",310,126.3,104,185.8,74.3,157.5,286.2,61.1,113.1,103.9,107
Alberta,20-Apr,513.9,44.3,133,21.2,197.5,117.9,"1,455.10",260.2,109.2,102.9,169.3,69.3,147.7,271,63.1,77.5,80.2,104.9
Alberta,20-May,509.1,43.6,129,21.1,194.3,121.1,"1,488.10",269.5,116.4,105.9,169.7,73.9,141.9,275.2,59,85.2,92.2,99.2
Alberta,20-Jun,518.4,43.1,127.5,20.2,210.8,116.9,"1,570.30",295.7,116.3,111.7,163.8,78.5,138.4,298.3,73.3,97.1,96.2,101
Alberta,20-Jul,536.6,44.7,131.7,21,219.6,119.6,"1,619.50",310.3,121.4,109.4,171.3,74.6,142,303.8,74.5,111.4,101.3,99.6
Alberta,20-Aug,525.8,38.6,125.1,22.2,219.2,120.8,"1,640.00",318.6,121.3,107.5,184.3,74.4,144.9,304.1,75.6,114.5,97.1,97.9
Alberta,20-Sep,533.9,41.1,128.2,23.2,220.5,121,"1,670.10",322.5,124.6,110.4,179.3,72.8,155.2,302.5,84.3,113,99.4,106.1
Alberta,20-Oct,542,37.1,132.2,23.9,222.2,126.7,"1,685.40",329.6,131.8,111.8,182.4,71.8,153.4,311,77.1,112.1,102.3,102
Alberta,20-Nov,545.2,39.5,136.9,22.8,224.4,121.7,"1,671.50",331.6,131.3,118.4,178.8,60,150.6,307.7,75.4,112.5,102.2,102.8
British Columbia,20-Jan,481,26.8,40.1,12.2,237.9,164,"2,064.60",394.9,140.6,164.7,219.7,106.3,180.6,309.7,120.5,195.3,117.1,115.3
British Columbia,20-Feb,479.6,26.9,38.2,14.8,240.1,159.7,"2,059.50",403.3,138,162.7,216.7,109.9,176.1,311.7,118.2,195.1,114.9,112.8
British Columbia,20-Mar,480.1,30.7,37.7,15.5,233.9,162.4,"1,926.50",363.2,131.4,153.4,215.5,99.1,169.1,307,101.4,158.7,113.5,114.4
British Columbia,20-Apr,433.2,24.6,37.5,17.9,199.8,153.5,"1,709.30",327.7,123.2,150.6,217.4,84.4,160.5,286.6,84,83,84.4,107.5
British Columbia,20-May,436.1,26.7,37.9,18.4,198.4,154.7,"1,749.80",339.5,116,154.2,217.7,82.4,172.4,294,87.9,95.4,81.1,109.2
British Columbia,20-Jun,439.2,26.3,39.1,19.3,206.6,147.9,"1,864.80",355.6,119.5,152.2,235.3,84.5,173.3,303.8,90,150.2,88.8,111.7
British Columbia,20-Jul,448.6,24.5,38.5,18.8,211.6,155.2,"1,925.60",379.8,125.5,154.7,233,85.6,166,301.4,99,174.3,94.1,112.2
British Columbia,20-Aug,469.3,31.1,40,21.5,215.5,161.2,"1,920.20",369.4,126,154.5,222.2,89.1,163.6,305.5,93,180.7,104.5,111.7
British Columbia,20-Sep,459.3,30.2,39.1,21.1,200.9,168,"1,985.00",369.9,125.5,162.1,226.4,104.8,180.7,309.9,111.5,178.5,103,112.8
British Columbia,20-Oct,470.3,33,43,20.5,200,173.9,"2,007.50",370.6,124.1,165,229.5,103.1,182.6,318.3,115.7,180.6,102.8,115.3
British Columbia,20-Nov,471.9,30.7,47.5,18.8,205.7,169.2,"2,029.80",376.8,130.4,163,233.8,103.9,184.1,316.6,111.3,187.9,103,119.1
